All statistics are based on contigs of size >= 3000 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Fvar-0.1     Fvar-0.1_broken  Fvar-1.2    Fvar-1.2_broken
# contigs (>= 0 bp)          9755         8213             2173        6018           
# contigs (>= 1000 bp)       9755         8176             2173        5982           
# contigs (>= 5000 bp)       5434         6749             1277        4781           
# contigs (>= 10000 bp)      4588         5542             1030        4065           
# contigs (>= 25000 bp)      3110         3416             937         2874           
# contigs (>= 50000 bp)      1822         1714             836         1730           
# contigs (>= 100000 bp)     711          537              693         771            
Total length (>= 0 bp)       280951552    274721109        275421029   272286919      
Total length (>= 1000 bp)    280951552    274698334        275421029   272265904      
Total length (>= 5000 bp)    271976797    269578653        273364530   268541596      
Total length (>= 10000 bp)   265705063    260659529        271548590   263288837      
Total length (>= 25000 bp)   240870069    225350938        269983067   243419762      
Total length (>= 50000 bp)   194122579    164634592        266253434   202523257      
Total length (>= 100000 bp)  116286290    82754695         255941895   134884130      
# contigs                    6292         8213             1514        6018           
Largest contig               603324       603324           2258834     851511         
Total length                 275301176    274721109        274295911   272286919      
Estimated reference length   345000000    345000000        345000000   345000000      
GC (%)                       36.72        36.72            36.72       36.72          
N50                          83201        63625            470005      99144          
NG50                         61750        46480            340840      69285          
N75                          43559        32548            244533      48709          
NG75                         14801        10877            87636       13619          
L50                          946          1227             174         784            
LG50                         1432         1878             264         1222           
L75                          2087         2740             379         1765           
LG75                         4018         5359             723         3679           
# total reads                576003874    71681588         575272733   575568286      
# left                       293724871    36777292         288575737   288633452      
# right                      274087329    33711287         272210704   272237712      
Mapped (%)                   87.34        88.38            81.21       81.17          
Properly paired (%)          67.06        63.82            62.81       62.15          
Avg. coverage depth          166          20               152         153            
Coverage >= 1x (%)           99.93        27.45            99.31       100.0          
# N's per 100 kbp            72.72        0.15             698.19      1.13           
# predicted rRNA genes       11 + 7 part  11 + 7 part      9 + 6 part  9 + 6 part     
